PLATFORM_NUMBER,time,latitude,longitude,PRES,TEMP,PSAL
,UTC,degrees_north,degrees_east,decibar,degree_Celsius,PSU
7902250,2025-04-23T13:28:00Z,-1.7322816666666667,85.17659333333333,1324.7,5.066,34.84
7902250,2025-04-23T13:28:00Z,-1.7322816666666667,85.17659333333333,1374.8,4.83,34.828
7902250,2025-04-23T13:28:00Z,-1.7322816666666667,85.17659333333333,1424.8,4.598,34.821
7902250,2025-04-23T13:28:00Z,-1.7322816666666667,85.17659333333333,1474.5,4.337,34.811
7902250,2025-04-23T13:28:00Z,-1.7322816666666667,85.17659333333333,1525.2,4.113,34.811
7902250,2025-04-23T13:28:00Z,-1.7322816666666667,85.17659333333333,1574.8,3.907,34.807
7902250,2025-04-23T13:28:00Z,-1.7322816666666667,85.17659333333333,1625.3,3.678,34.8
7902250,2025-04-23T13:28:00Z,-1.7322816666666667,85.17659333333333,1675.6,3.533,34.798
7902250,2025-04-23T13:28:00Z,-1.7322816666666667,85.17659333333333,1726.0,3.43,34.794
7902250,2025-04-23T13:28:00Z,-1.7322816666666667,85.17659333333333,1774.6,3.281,34.788
7902250,2025-04-23T13:28:00Z,-1.7322816666666667,85.17659333333333,1825.2,3.151,34.783
7902250,2025-04-23T13:28:00Z,-1.7322816666666667,85.17659333333333,1875.0,2.983,34.776
7902250,2025-04-23T13:28:00Z,-1.7322816666666667,85.17659333333333,1925.2,2.861,34.771
7902250,2025-04-23T13:28:00Z,-1.7322816666666667,85.17659333333333,1967.4,2.761,34.767
